contradiction,t,h
YES,"The Government's new policies give more weight to reducing the adverse impact of trunk roads on the environment, including reducing greenhouse gas emissions and pollutants from trunk road traffic.",The government did not take measures to reduce pollution.
YES,"Since December 10th, six people have lost their lives in avalanches.",No humans died in an avalanche.
YES,"When an earthquake rumbled off the coast of Hokkaido in Japan in July of 1993, the resulting tsunami hit just three to five minutes later, killing 202 people who were trying to flee for higher ground.","An earthquake did not occur on the coast of Hokkaido, Japan."
YES,"Microsoft is, undeniably, a company with monopoly power.",Microsoft does not hold a monopoly power.
YES,"The earthquake was felt throughout northern Japan, including Hokkaido's largest city, Sapporo, and Kushiro, on the island's eastern shore, but no reports of serious damage have been received.",An earthquake did not occur in Hokkaido.
YES,The recent collision between a Super Ferry and a smaller ship that killed at least 38 people has once again put the spotlight on the Philippine Coast Guard.,No people were killed in a collision between ships.
YES,"Drinking four or five cups of green tea a day can help protect against cancer and heart disease, aid in weight loss, ease arthritis and chronic pain and even help prevent Alzheimer's disease.",Tea does not protect from any diseases.
YES,"Of the over 400 different species of sharks found in the world's oceans, only about 30 have been reported to ever attack a human.",No shark attacked a human being.
YES,"In a stunning setback for Bill Gates' software empire, the judge in the Microsoft antitrust trial ruled yesterday that the software giant is a monopoly that wielded its power to stifle competition.",Microsoft does not hold a monopoly power.
YES,"To protect Tibet's ecological environment, the government exercises a ""felling by quota"" policy, and strictly controls the scale of tree-felling in forests.",The government did not take measures to protect the environment.
YES,"When replacing a single tooth, an implant has an advantage over fixed bridgework in that healthy teeth adjacent to the missing tooth do not have to be prepped (drilled down).",Tooth implants have no advantages.
YES,"Did the media pounce upon the religion of Jurgen Schneider, the developer who went bankrupt and fled Germany owing billions of DMs to Deutsche Bank and others, as the cause of his downfall?",Jurgen Schneider did not go bankrupt.
YES,"An earthquake has hit the east coast of Hokkaido, Japan, with a magnitude of 7.0 Mw.",An earthquake did not occur on the east coast of Hokkaido.
YES,"However, while admitting these positive factors, it is also true that the British historians distorted Indian history on some most essential points.",Indian history was not rewritten.
YES,"Virtual reality is used to train surgeons, pilots, astronauts, police officers, first-responders, and soldiers.",Soldiers are not trained using virtual reality.
YES,"Since they are permanently, surgically anchored in the jawbone, implants offer impressive advantages over other tooth replacement options.",Tooth implants do not have advantages.
YES,"Volcanic earthquakes that normally occurred less than five times per day, occurred 81 times on the 15th of November.",There was no increase in volcanic activity.
YES,"For the first time, Congress took measures to reduce airborne toxins, acid rain and the depletion of the ozone layer.",The government did not take measures to reduce pollution.
YES,"Never before had ski racing, a sport dominated by monosyllabic mountain men, seen the likes of Alberto Tomba, the flamboyant Bolognese flatlander who at 21 captured two gold medals at the Calgary Olympics.",Alberto Tomba never won a ski race.
YES,"The GIA has, however, proven remarkably successful in carrying out high-visibility attacks. Most notable of these was the December 24, 1995 hijacking of an Air France Airbus 300 while is was on the tarmac at the Algiers airport.",The GIA did not hijack an Air France Airbus.
YES,Agoraphobia is a prevalent disorder afflicting approximately 1 person in 20 in the general population.,Agoraphobia is not a widespread disorder.
YES,"The rival American group is also involved in salvaging operations on the wreck of the USS Charleston an American warship, which sank in 1899.",Shipwreck salvaging was not attempted.
YES,"Every year, roughly a hundred people die in avalanche accidents in the European Alps and many more are injured or badly frightened.",Humans do not die in avalanches.
YES,The main finding of our study was that postmenopausal women who used estrogen replacement therapy for 10 or more years were at significantly higher risk of developing ovarian cancer than women who never used hormone replacement therapy.,Estrogen was not used by postmenopausal women
YES,"That inevitably led the central government to enact the Basic Law for Pollution Control in 1967, along with several other pollution-control laws.",The government did not take measures to reduce pollution.
YES,Explosions hit the London-based HSBC bank and the British consulate. The blasts came days after the city was hit by two synagogue bombings.,A European synagogue was not the target of an act of terrorism.
YES,Chirac himself has been undermined by a continuing scandal over the organized bribery that financed all of France's important political parties.,A French political party was not illegally financed.
YES,The military has used Virtual Reality to train soldiers since the late seventies.,Soldiers have not been trained using virtual reality.
YES,"In 1994 RMS Titanic, Inc. was awarded ownership and salvaging rights of the wreck, even though RMS Titanic Inc. and other salvaging expeditions have been criticized for taking items from the wreck.",Shipwreck salvaging was not attempted.
YES,The system of government purchases of food under the U.N. Oil-for-Food Program was alleged to have many abuses.,No government purchases food.
YES,"In California, one hundred twenty Central Americans, due to be deported, began a hunger strike when their deportation was delayed.",A hunger strike was not attempted.
YES,These neuroleptics or anti-psychotic drugs are highly effective in dealing with the positive symptoms of schizophrenia.,Drugs are not used to combat schizophrenia.
YES,Genetic Engineering will end world hunger.,Genetic technology does not provides a solution to hunger.
YES,"With the exception of several hundred military specialists at Skrunda, all active-duty Russian troops were withdrawn from Latvia by August 31, 1994.",Russian troops did not withdraw from Latvia.
YES,A rupture was discovered in the 5.9-inch diameter Musyurshor-Sandivay oil pipeline in the Yamal-Nenets autonomous area in eastern Siberia only two months after it happened.,An oil pipeline in Siberia was not ruptured.
YES,Mithila region in southern Nepal is the treasure house of folk culture as shown in its original language and literature as well as indigenous folk art drawn which is passed down from mother to daughter.,Indigenous folk art is not preserved.
YES,"An earthquake has hit the east coast of Hokkaido, Japan, with a magnitude of 7.0 Mw.","An earthquake did not occur on the east coast of Hokkaido, Japan."
YES,"White collar jobs ranging from call centers to software engineers to medical technicians are being ""outsourced"" to India resulting in comments from the White House and the presidential candidates in the USA.",Jobs were not outsourced to India.
YES,Numerous studies have demonstrated significantly lower risks of fatal and nonfatal CHD among postmenopausal women taking estrogen.,Estrogen is not used by postmenopausal women.
YES,The attack occurred the day after four Algerian GIA members who had hijacked an Air France Airbus were killed by French security forces at the Marseille airport.,The GIA did not hijack an Air France Airbus.
YES,"A great tragedy occurred on December 6, 1917 as an explosion caused by a collision between two ships claimed over a thousand lives including nine Hailifax firefighters.",No people were killed in a collision between ships.
YES,"TRW began moving IT development work offshore to India four years ago, mostly through attrition and shifting contract work overseas.",Jobs were not outsourced to India.
YES,"In the 17th century, slave divers were sent by the Spanish to recover precious cargo from their sunken ships.",Shipwreck salvaging was not attempted.
YES,Microsoft's strengthening monopoly raises concern in both the United States and Europe regarding the future of digital communications.,Microsoft does not hold a monopoly.
YES,"When in 1967 a General Land Office qv field representative officially reported the discovery of a sunken Spanish ship off Padre Island near Port Mansfield, recovery attempts for artifacts from the ship were already in full operation by a private out-of-state salvaging firm; the company, however, did not have a permit to operate within the state.",Shipwreck salvaging was not attempted.
YES,"Two days later, a 28-year-old man died in a shark attack in Avon, North Carolina.",No shark attacked a human being.
YES,Drugs used to treat schizophrenia are called neuroleptics.,Drugs are not used to combat schizophrenia.
YES,"During June 2000, VSI reported an increase in seismicity, especially deep volcanic earthquakes.",There was an increase in seismic activity.
YES,"One of the more inventive directors on the world movie scenes, Aki Kaurismaki has made his most sheerly appealing film to date in the award-winning ""The Man Without a Past.""",Aki Kaurismaki has not directed a film.
YES,A hunger strike by hundreds of imprisoned asylum seekers against the Australian government escalated today with nine Afghan and Iraqi teenage refugees threatening to commit suicide unless authorities release them by Wednesday evening.,No hunger strike was attempted.
YES,"In 1983, Aki Kaurismaki directed his own first full-length feature.",Aki Kaurismaki has not directed a film.
YES,Simulation using virtual reality (VR) is becoming an effective tool for the Army in training soldiers to do their required tasks.,Soldiers are not trained using virtual reality.
YES,"But, as the GIA's hijack of the Air France Airbus A300 on Christmas Eve 1994 demonstrates, the Islamic terrorist groups are also prepared to take their terrorist war to France itself.",The GIA did not hijack an Air France Airbus.
YES,"In 2004 the total of goods and services exported out of Washington was $33.8 billion, down slightly from $34.2 billion in 2003.",U.S. industry is not exported.
YES,"The Government of Canada is advancing pollution prevention by strengthening legislation and regulations, integrating the pollution prevention approach into current programs, designing guidelines and codes of practice for industrial operations, working in partnership with the private sector and other orders of government and communities, supporting non-regulatory initiatives, and participating in developing and implementing international agreements.",The government took no measures to reduce pollution.
YES,The armed forces use virtual reality to simulate war games that train soldiers in wartime manoeuvres to improve their skills and battle techniques.,Soldiers are not trained using virtual reality.
YES,Microsoft's monopoly in operating system software is leading to a dangerous concentration of power over electronic commerce.,Microsoft does not hold a monopoly power.
YES,"Concerned about the impact of federal regulations on the prices of food and commodities that the federal government purchases, you requested that we provide details about federal agencies' purchases of food and/or agricultural commodities from fiscal year 1997 through fiscal year 1999.",No government purchases food.
YES,The rewriting of the history of ancient India has been opposed by some historians who think that the move initiated by the Government must have been at the instance of those who want to serve the cause of Hindutva.,Indian history is never rewritten.
YES,"By developing and enhancing its nuclear energy options, France has been able to adhere to the goals stated in the Environment Ministry's mission: monitor the environment, protect nature, prevent, reduce, or totally eliminate pollution and other nuisances, and enhance the quality of life.",The government took no measures to reduce pollution.
YES,"When accidents, injury, or disease cause the loss of one or more teeth, dental implants as a replacement option offer several advantages compared to bridges or dentures.",Tooth implants have no advantages.
YES,"The UMC have created a high-tech virtual training simulator known as ""the meat machine"" in which UMC soldiers are trained how to fight.",Soldiers are not trained using virtual reality.
YES,"The Chinese government has adopted various measures to curb environmental pollution, with the ratio of environmental protection funds in the GDP rising from 0.72 percent in the 1980s to one percent both in 1999 and 2000, which was higher than the UN standard of 0.8 percent for developing countries and close to that for developed countries.",The government took no measures to reduce pollution.
YES,He pointed to extra measures the government took yesterday to reduce pollution from sewage works.,The governmnet took no measures to reduce pollution.
YES,"And the vast destruction of the rainforest in this century, along with the rise in fossil fuel usage, is a major contributing factor in global warming.",Destruction of the rainforest has not affected the world's weather.
NO,"Mangla was summoned after Madhumita's sister Nidhi Shukla, who was the first witness in the case.",Shukla is not related to Mangla.
NO,"Authorities in Brazil say that more than 200 people are being held hostage in a prison in the country's remote, Amazonian-jungle state of Rondonia.",Authorities in Brazil never held 200 people as hostage.
NO,The upper house of the Russian parliament has approved a controversial bill to tighten state control over non-governmental organisations (NGOs).,Russian parliament does not close NGOs.
NO,"Australia has repeatedly sought clemency for Tuong Van Nguyen, 25, who was convicted of smuggling 400 grams (0.9 lb) of heroin from Cambodia through Singapore's Changi airport in 2002. Attorney-General Philip Ruddock criticised the imposition of the death penalty, especially in Nguyen's case which he said had mitigating circumstances.",Philip Ruddock has not been condemned to the death penalty.
NO,"State police said Greater Johnstown-Cambria County Convention and Visitors Bureau kept $52,574.11 from Thunder in the Valley 2005 beer sales that should have gone to two volunteer fire companies.",Greater Johnstown-Cambria County Convention and Visitors Bureau never funded two volunteer fire companies.
NO,"Robert Tuttle told the BBC there was no evidence of ""extraordinary renditions"" to Syria, which has been criticised by Washington for its human rights record.",Robert Tuttle has never worked for the BBC.
NO,"Nguyen's lawyer, Lex Lasry, told Australian television from Singapore that Nguyen, a Catholic whose family came from Vietnam, was ""ready to die"".",Nguyen is not a lawyer.
NO,"Both aftershocks had their epicentre around the Nicobar island group in the south of archipelago that lies close to Indonesia, India's Meteorological Department said.",India's Meteorological Department never operates from Indonesia.
NO,"United failed to progress beyond the group stages of the Champions League and trail in the Premiership title race, sparking rumours over its future.",United has never won the Champions League.
NO,"Earlier this year, 78 local, state and federal agencies took part in a chemical attack drill, called ""Rotunda Thunda,"" at the Las Vegas Convention Center and the Strip.",State and federal agencies never took part in a chemical attack.
NO,"At the same time, anti-virus firm Kaspersky Labs branded the XCP program spyware, because it hides itself, could compromise security and can slow machines down.",Kaspersky Labs' anti-virus software could not compromise security.
NO,"Booker T. and Sharmell, two African-American WWE superstars, were involved in the segment.",Brooker T. and Sharmell are not organizers of African-American WWE.
NO,"Baldwin has instructed at numerous baseball camps across the country, including Notre Dame, LSU, Mississippi State, Illinois, Army, Old Dominion, Butler, Dartmouth, Southern Maryland and the Best in Virginia camp.",Butler has not joined the Army.
NO,Federal Education Minister Brendan Nelson has been criticised at a national conference in Perth for damaging the overseas reputation of Australian schools.,Brendan Nelson has never criticised a Federal Education Minister.
NO,Prime Minister John Howard says he will not be swayed by a videotaped warning that Australia faces more terrorism attacks unless it withdraws its troops from Iraq and Afghanistan.,Australia will never withdraw from Iraq.
NO,Opposition leaders in India have called on foreign minister Natwar Singh to resign after he and the Congress party were named in the Volcker report as alleged recipients of illicit payments from Saddam Hussein under the oil-for-food scam.,Natwar Singh will not resign.
NO,"Just over two hours later, another car bomb targeted a police commando patrol under the Harithiyah bridge in the west of the city, killing two policemen and wounding 11.",A police commando patrol was never the owner of a car bomb.
NO,"The BBC's correspondent in Athens, Malcolm Brabant, said that in the past few weeks more details had emerged of the alleged mistreatment by Greek-speaking agents.",Malcolm Brabant was not mistreated by Greek agents.
NO,"Speaking to newsmen in Jakarta today, Hun Sen, second prime minister of Cambodia, reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge (KR) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence.",Hun Sen has never represented the Khmer Rouge.
NO,Two persons were injured in dynamite attacks perpetrated this evening against two bank branches in this Northwestern Colombian city.,No more than two persons perpetrated dynamite attacks in a Northwestern Colombian city.
NO,The announcement about Myanmar's chairmanship of ASEAN was expected from the foreign ministers after their working dinner on Monday - the first time all 10 of them met together after arriving in the Laotian capital.,ASEAN was not based in Myanmar.
NO,"The move came yesterday after US newspapers reported University of Pittsburgh embryologist and stem cell expert Gerald Schatten had ended his collaboration with Seoul National University's Woo Suk Hwang, the scientific father of Snuppy, the first cloned dog.",Gerald Schatten never cloned Snuppy.
NO,"For example, an electron that has been accelerated to 0.78 times the speed of light has a de Broglie wavelength of 2 pm (2 times 10-12 m), which is about 100 times smaller than the typical interatomic distance in a solid.",Interatomic distance in a solid is no smaller than an electron.
NO,"The former worldwide immunization director for Becton, Dickinson and Company (""BD"") tried to correct clinical trial violations, then was wrongfully terminated, according to a lawsuit against BD filed today by Levy Phillips & Konigsberg, LLP named partner Alan J. Konigsberg.",Alan J. Konigsberg is not related to Levy Phillips & Konigsberg.
NO,"Robert Tuttle told the BBC there was no evidence of ""extraordinary renditions"" to Syria, which has been criticised by Washington for its human rights record.",Robert Tuttle has not been criticised by Washington.
NO,"Some 420 people have been hanged in Singapore since 1991, mostly for drug trafficking, an Amnesty International 2004 report said. That gives the country of 4.4 million people the highest execution rate in the world relative to population.",No more than 4.4 million people were executed in Singapore.
NO,They demand that Beijing pressure Pyongyang to capitulate to Washington's demands.,Pyongyang does not lie near Beijing.
NO,A Chinese democracy activist has reportedly been jailed for 12 years for helping to organise anti-Japanese protests in China earlier this year.,Japanese do not protest against China.
NO,Celebrations are continuing after the Socceroos' victory over Uruguay to qualify for the finals of the football World Cup in Germany next year.,Uruguay has never qualified for the World Cup finals.
NO,"Works by Camille Pissarro, who is often called the first Impressionist, are to be exhibited in Australia for the first time.",Camille Pissarro does not work in Australia.
NO,The Peruvian government has approved 12 charges on which it will seek the extradition of former President Alberto Fujimori from Chile.,The Peruvian government does not extradite Alberto Fujimori.
NO,"The technical investigation commission has determined that some military were reportedly involved in the assassination of the six Jesuits and their two maids, which took place at daybreak on the 16th of November, as reported by president Alfredo Cristiani on the 7th of January.",No assassination of the six Jesuits and their two maids ever took place on the 7th of January.
NO,"""We are constantly getting confirmation that the U.S. economy is no longer in a boom phase, and that interest rates are falling,"" said a dealer at a U.S. bank in Frankfurt, West Germany.",The U.S. does not form part of Germany.
NO,"The summary also concluded that Sirhan, who is serving a life sentence at Soledad Prison for the killing, was sane and was not under the influence of alcohol when he shot Kennedy moments after he had claimed victory in the California Democratic presidential primary.",Sirhan has never been employed by Soledad Prison.
NO,"But years later, testing commissioned by the Innocence Project at Thomas M. Cooley Law School revealed that DNA on a cigarette and some semen-stained undergarments in evidence did not match Wyniemko.",Wyniemko was never proven guilty by DNA testing.
NO,"The National Institute for Health and Clinical Excellence estimates the move would cut the number of unplanned pregnancies by 70,000 each year.","Unplanned pregnancies have never risen by 70,000 each year."
NO,Former Celtic striker Henrik Larsson says he will leave Barcelona to return to Sweden next summer - after changing his mind about a new contract.,Henrik Larsson does not Sweden.
NO,"Microsoft Corp. and Intel Corp., on Monday, threw their weight behind the next-generation, HD DVD format being promoted by Toshiba Corp., in a blow to Sony Corp.'s Blu-ray format.",Intel Corp. was never a user of Blu-ray format.
NO,"The ""absolute prerequisite"" for any potential buyer, ""is a view that some of Knight Ridder's depressed markets can grow again,"" Doug Arthur, newspaper analyst at Morgan Stanley, wrote in a recent report.",Doug Arthur is not a potential buyer of Knight Ridder.
NO,"In announcing plans today to prepare the nation for combating a future worldwide wave of bird flu, President Bush used vocabulary and tactics that are familiar from his confrontation with global terrorism.",President Bush does not plan a confrontation with global terrorism.
NO,"But years later, testing commissioned by the Innocence Project at Thomas M. Cooley Law School revealed that DNA on a cigarette and some semen-stained undergarments in evidence did not match Wyniemko.",Wyniemko did not attend the Thomas M. Cooley Law School.
NO,"A group of elders visited him after his brother, Vietnam veteran Dan Shermock, died in July 2004, Shermock said.",Dan Shermock does not come from Vietnam.
NO,"Convinced that pro-American officials are in the ascendancy in Tokyo, they talk about turning Japan into ""the Britain of the Far East.""",Britain is not located in the Far East.
NO,So far Sony BMG has not released a list of how many CDs are protected or how many have been sold.,Sony BMG has never released a list of protected CDs.
NO,"Shia pilgrims converge on Karbala twice a year to mark the death of Hussein, the Prophet Muhammad's grandson, 1,300 years ago.",The Prophet Muhammed did not die in Karbala.
NO,"The State Department is making the unusual offer of giving expedited visas to the Cuban sons of Iraq war hero Sgt. Carlos Lazo so they can visit him in the United States, people familiar with the case said Friday.",Sgt. Carlos Lazo did not work for Iraq.
NO,"The six defendants in the case are former Assistant Auditor Terri Webster, former Human Resources Director Cathy Lexin, former Treasurer Mary Vattimo, city management analyst Sharon Wilkinson, Municipal Employees Association Vice President John Torres and City Firefighters Local 145 President Ron Saathoff.",Mary Vattimo was involved never in the city management.
NO,German Chancellor-designate Angela Merkel and Social Democrat leaders reached a coalition agreement calling for a higher value-added tax and 25 billion euros ($29.3 billion) in new domestic spending.,Angela Merkel has never led the Social Democrats.
NO,"Scottish, Welsh and Northern Irish MPs will be barred from voting on English laws if Conservative leadership hopeful, David Davis, becomes prime minister.",David Davis will never become prime minister.
NO,"Samir Geagea, the only Lebanese warlord punished for his role in the 1975-90 civil war, left jail after 11 years on Tuesday in a step toward reconciliation after the end of the Syrian tutelage Samir Geagea bitterly opposed.",Samir Geagea never supported Syrian tutelage.
NO,"Salvadoran Social Democratic politician Hector Oqueli Colindres was kidnapped today, in Guatemala city, along with Guatemalan Social Democratic leader Gilda Flores, his party, in Mexico City, reported.",Gilda Flores was never kidnapped in Mexico city.
NO,Officials in Arnold Schwarzenegger's Austrian hometown of Graz have removed his name from a football stadium in an ongoing row over the US death penalty.,Arnold Schwarzenegger does not face the death penalty.
NO,"Ministers are still deadlocked over plans to ban smoking in pubs, clubs and all enclosed public spaces in England.",English ministers have never been united on the smoking ban.
NO,She is the second woman mayor killed this week by alleged commando groups of the Maoist Shining Path.,A woman mayor is an alleged member of Maoist Shining Path.
NO,"The company, whose registered auditors are Deloitte & Touche, has instructed Ernst & Young to carry out a thorough review of the accounts of Eurest Support Services, a subsidiary which feeds UN peacekeepers in at least eight countries.",Ernst & Young does not feed UN peacekeepers.
NO,Leaders of international groups and countries Wednesday condemned the assassination of two Algerian diplomats by al-Qaida's wing in Iraq.,Al-Qaida does not have its headquarters in Iraq.
NO,"Responding to Scheuer's comments in La Repubblica, the prime minister's office said the analysts' allegations, ""beyond being false, are also absolutely incompatible with the contents of the conversation between Prime Minister Silvio Berlusconi and U.S. Ambassador to Rome Mel Sembler.""",Mel Sembler has never been employed by Rome's council.
NO,Newcastle chairman Freddy Shepherd has questioned how serious Liverpool boss Rafael Benitez was in his attempts to re-sign Michael Owen in the summer.,Rafael Benitez does not resign as Liverpool boss.
NO,Mugabe's visit to China comes at a time he is increasingly isolated from the West over policy differences including his government's forcible redistribution of white-owned commercial farms to blacks.,Mugabe never cancelled his visit to China.
NO,"Moreover, this official denied that Jubiz Hazvumb, captured on the 22nd of August by Colombian authorities for his alleged involvement in the murder of senator and presidential candidate Luis Carlos Galan, was an Israeli citizen.",Luis Carlos Calan did not murder Jubiz Hazvumb.
NO,His old enemies joined calls for his release after Hariri's killing fuelled opposition to Syria.,Hariri was not buried in Syria.
NO,"In an unusually candid admission, the federal chief of AIDS research says he believes drug companies don't have an incentive to create a vaccine for HIV and are likely to wait to profit from it after the government develops one.",Drug companies will never create a vaccine for HIV.
NO,"Reporter Luis Morales, who works for an Ayacucho regional organization, reported that five unidentified individuals attempted to kidnap him, but he luckily escaped.",Luis Morales was never kidnapped by five unidentified individuals.
NO,"The European Commission, on Tuesday, warned Bulgaria and Romania that their accession to the EU could be delayed until 2008 if they fail to take urgent action to fight corruption and speed up reforms.",The European commission will never block the Romanian accession to the EU.
NO,"Winkeler, an 18-year veteran employee of The Southern Illinoisan, is a native of Beckemeyer, but graduated from Southern Illinois University Carbondale in 1976 with a degree in journalism.",Winkeler does not reside in Beckemeyer.
NO,"Trent Barrett replaces injured Kangaroos captain, Darren Lockyer, at five-eighth while prop Steve Price has been omitted from the preliminary 19-man squad named on Tuesday.",Trent Barrett will never replace Steve Price.
NO,"Only a few days ago, ARENA assassins tried to kill the president of the Mortgage Bank, Mr. Mason, for not following their orders.",Mr. Mason will never kill the president of the Mortgage Bank.
NO,"The protestors arrived from Grizinkals Park, not far from downtown, where they had been holding a protest.",The protestors were not resident in Grizinkals Park.
NO,"The Mall School in Richmond has replaced its aging Windows 2000 PCs with a state of the art Linux thin-client network, offering access to a wealth of educational software at a fraction of the cost of an upgraded Microsoft-based solution.",The Mall School will never again be a customer of Microsoft.
NO,"The Zimbabwean delegation includes the central bank governor, finance minister and Foreign Minister Simbarashe Mumbengegwi, who met his Chinese counterpart Li Zhaoxing on Tuesday.",Li Zhaoxing will never reject Chinese nationality.
NO,Jose Reyes scored the winner for Arsenal as they ended a three-game league losing streak with a victory over battling Charlton.,Jose Reyes scored the winner against Arsenal.
NO,Patrick's managing director Chris Corrigan says the law has been broken and the company will be writing to the Australian Securities and Investments Commission (ASIC).,Chris Corrigan has not broken the law.
NO,"Mathew Staver, president of Liberty Counsel, a conservative law group based in Florida, called on the president to withdraw the Miers nomination, saying that Bush passed over several highly qualified candidates with proven track records and well-developed judicial philosophies for an unknown.",Mathew Staver has never been a supporter of Miers.
NO,"At the same time, Old Mutual Asset Management, which is owned by London bank Old Mutual, announced that it would merge Pacific into corporate sibling Barrow Hanley.",Barrow Hanley has never been a competitor of Pacific.
NO,"Trent Barrett replaces injured Kangaroos captain, Darren Lockyer, at five-eighth while prop Steve Price has been omitted from the preliminary 19-man squad named on Tuesday.",Steve Price did not injure the Kangaroos captain.
NO,"""We don't think about it much, because it hurts,"" says Albertman, who is formulating a civil code for the Democratic Choice party.",Albertman is not a member of the Democratic Choice party.
NO,"DaimlerChrysler sold its remaining shares in the Mitsubishi Motor Corporation of Japan today, effectively ending the grand scheme of its chairman, Jurgen E. Schrempp, to create a global car company.",Jurgen E. Schrempp did not create Mitsubishi Motor Corporation.
NO,"The Actors Studio offering will be based on Simon's female version of the play which was premiered in 1985 in New York, at the Broadhurst Theatre, with the characters' names being Florence Unger and Olive Madison, played by Sally Struthers and Rita Moreno respectively.",Sally Struthers never played the role of Olive Madison.
NO,US authorities have been secretly monitoring radiation levels at Muslim sites amid fears that terrorists might obtain nuclear weapons.,Nuclear weapons are not stored at Muslim sites.
NO,"Those accused of the assassination of six Jesuits will have a ""fair trial"" and if found guilty, will be punished whether they are civilians, military, or influential people, supreme court President Dr. Mauricio Gutierrez Castro said.",Six Jesuits were not assassinated by the military.
NO,"Baldwin graduated from Butler University in 1995, and he served his alma mater as an assistant coach from 1994-99.",Baldwin was not dismissed by Butler University.
NO,"Superstars scheduled to appear include Death Row, Johnny 8-Ball, Ogre, Junkyard Joe, Justin Nuff, The Joykiller, Baine, Shane Youngblood, Dave Century, Mike Savage, Los Lizmarkos, Calo, Crazy Cat, El Satanico with Pennsylvania Pete, Showtime and a special attraction with Freddy vs. Jason.",Mike Savage is not an employee of Los Lizmarkos.
NO,"Competition between IBM and Oracle is certainly nothing new, and the customer does ultimately benefit.",IBM is not a partner of Oracle.
NO,"Desforges, who lived in Saguenay, about 155 miles north of Quebec City, was almost immediately given a shot of adrenaline, a standard tool for treating anaphylactic shock brought on by an allergy to peanuts.",Anaphylactic shock cannot be caused by adrenaline.
NO,"On the same day last week that Mahmoud Ahmadi-Nejad, Iran's fundamentalist president, called for Israel to be ""wiped off the map"" at an anti-Zionist conference in Tehran, his first vice-president was attending a different sort of event in Moscow.",Mahmoud Ahmadi-Nejad has never attended a conference in Moscow.
NO,"The possibility for Yevgenia Timoshenko, daughter of the Ukrainian ex-prime minister, to be married to the English rock singer Sean Carr, in church, is still questionable.",Yevgenia Timoshenko will not be the wife of Sean Carr.
NO,Germany will pay more into the EU coffers than Britain had originally proposed - but still less than it had been prepared to pay at the last summit six months ago.,Germany will not pay more into the EU coffers than Britain.
NO,Tokyo's High Court has rejected an appeal for compensation by 10 Chinese survivors of Japanese germ warfare experiments during World War II.,Tokyo's High Court has never approved an appeal for compensation by 10 Chinese survivors.
NO,"Owen left Real Madrid after Newcastle outbid Liverpool to clinch a 17m pounds deal, but Benitez has hinted the striker may yet make a permanent return to Anfield.",Owen was not bought by Liverpool.
NO,"Since hurricane Katrina hit, acting New Jersey Gov. Richard Codey has met with state police and other agencies to review their terrorism plans.",Richard Codey is not attacked by Katrina.
NO,"Defence Minister Robert Hill says a decision would need to be made by February next year, if Australian troops are to extend their stay in southern Iraq.",Australian troops will not extend their stay in southern Iraq.
NO,"Only a few days ago, ARENA assassins tried to kill the president of the Mortgage Bank, Mr. Mason, for not following their orders.",Mason has never lead ARENA assassins.
NO,"Sirius Corporation, the UK's leading Linux and open source consultancy, installed the new network of 28 workstations that are connected to a high-powered server, running the LTSP Linux terminal server.",Sirius Corporation is not the developer of Linux.
NO,Secretary-General Kofi Annan's detractors may wish for him to take up wedding planning and ditch the peacekeeping.,Secretary-General Kofi Annan will never take up wedding planning.
NO,"Singapore is one of Australia's strongest allies in Asia and Australian Prime Minister John Howard has rejected calls for trade and military boycotts over the execution, which is scheduled for Friday.",Australia is never going to boycott Singapore.
NO,Profits at oil giant Shell have surged as the recent rise in oil prices more than offset the cost of US hurricanes.,Shell profits will not drop due to the recent rise in oil prices.
NO,Opposition Leader Peter Debnam released a reference the Premier wrote in 1999 as a junior minister for Mamadou Ndaw in his bid to be granted residency.,Peter Debnam was not elected Premier.
NO,"Five Iraqi policemen have been killed and at least three others wounded in an insurgent attack on a checkpoint, police say.",Five Iraqi policemen have never attacked a checkpoint.
NO,The reconsecration tomorrow in Dresden of the Frauenkirche will be a very special moment for Hans and Erna Keller.,Hans and Erna Keller do not live in Dresden.
NO,Arensberg and a group of nine other professors directed by Ofer Bar-Yosef of Harvard University and Bernard Vandermeersch of the University of Bordeaux in France have studied the findings at Kebara for the past six years.,Arensberg does not lecture at the University of Bordeaux in France.
NO,"Restricted items are those items that are not acceptable for purchase using government appropriated funds. Some examples of items that the General Accounting Office (GAO) considers ""restricted"" include: food, live entertainment, and personal gifts including plaques.",No government purchases food.
NO,"Folk art embodies different parts of the nation's indigenous culture, minority languages, and philosophy.",Indigenous folk art is not preserved.
NO,"During the report period, there were no significant changes in seismicity or ground deformation.",There was never an increase in seismic activity
NO,"""This industrial spills problem has persisted for years and it is about time that government took decisive action,"" says Paul Muldoon, Executive Director of the Canadian Environmental Law Association.",The government did not take measures to reduce pollution.
NO,A shark encounter with a human typically consists of a shark leisurely circling and/or slowly swimming past the subject without any aggressive behavior being exhibited.,A shark did not attacked a human being.
NO,"Although many herbs have been grown for centuries for medicinal use, do not look to herbal teas to remedy illness or disease.",Tea does not protect from illness.
NO,"The rusted pipelines have ruptured, spilling 2.5 million barrels of oil over the land and waterways of the Niger Delta.",An oil pipeline in Siberia was not ruptured.
NO,China and Japan battle over the proposed route of a Russian oil pipeline from Siberia that will determine which nation functions and which does not.,An oil pipeline in Siberia was not ruptured.
