contradiction,type,t,h
NO,none,"U.S. policy on drug trafficking is not consistent with the need to put an end and actively repress the consumption of drugs. The solution is not based on the destruction of a native plant, coca, in the continent, but on an active fight against the Colombian drug mafia, which has created a great money and crime empire in Colombia with powerful ramifications outside its borders.",No native plant is destroyed by the Colombian drug mafia.
NO,none,"Mr. Olsen paid $20 million for the space trip, but says that in the future space travel will likely become as routine as air travel is today.",Air travel never costs $20 million.
NO,none,"Microsoft Corp. and Intel Corp., on Monday, threw their weight behind the next-generation, HD DVD format being promoted by Toshiba Corp., in a blow to Sony Corp.'s Blu-ray format.",Microsoft Corp. did not invent the next generation HD DVD format.
NO,none,"As a result of these weaknesses, computer systems and the operations that rely on the systems were highly vulnerable to tampering, disruption, and misuse from both internal and external sources.",Non-authorized personnel have never illegally entered into computer networks.
NO,none,"US troops evacuated two injured soldiers said Staff Sgt. Duane Brown, a spokesman for the 42nd Infantry Division.",U.S. Military never evacuated U.S. citizens.
NO,none,The introduction of the euro has dismantled barriers to cross-border trading and enhanced risk sharing and opportunities for diversification.,The introduction of the euro has never been opposed.
NO,none,A new report indicates that women's participation in decision-making in the country is minimal.,Women are not poorly represented in parliament.
NO,none,The ivory ban was imposed by CITES in 1989 after a wave of poaching across Africa saw elephant numbers fall from an estimated 1.3 million to a few hundred thousand.,The ban on ivory trade has not been effective in protecting the elephant from extinction.
NO,none,"Humic acids are complex organic molecules formed by the breakdown of organic matter in the soil. They are not considered to be fertilizers, but soil enhancers and improvers.",Organic fertilizers are never used as soil enhancers.
NO,none,"A massive polio immunization drive is under way in more than 20 nations of West and Central Africa, but in Cote d'Ivoire violence has forced a postponement of the vaccination campaign, the Global Polio Eradication Initiative (GPEI) announced November 18.",Polio is not under control in the world.
NO,none,Meteorological observations suggest Claudette remained a tropical storm as she affected parts of west Texas.,A tropical storm has not caused significant property damage.
NO,none,"Lt. Mark Banks, of Savannah, Ga., tends to a patient who was medically evacuated by U.S. Navy helicopter to a temporary triage site in Aceh, Sumatra, Indonesia.",U.S. Military does not evacuate U.S. citizens.
NO,none,Women are poorly trained for politics.,Women are not poorly represented in parliament.
NO,none,"Security forces gunned down six Maoists; while the rebels killed a policeman and an abducted civilian drowned escaping from the Maoists, say latest insurgency related reports.",No civilian policeman was killed.
NO,none,Women are poorly represented in transactions financed by mortgage bonds.,Women are not poorly represented in parliament.
NO,none,"Some other objections to legalization point to the greater dangers of family violence, reckless driving, or reckless operation of subways and so on.",Drug legalization has no benefits.
NO,none,"They, too, have not produced a practical, commercially acceptable maglev.",Maglev will never be commercially used.
NO,none,"20 million years ago there were apes, and by 5 million years ago our closest ancestors and cousins, early ape-humans, had split from the other apes.","Humans did not exist 10,000 years ago."
NO,none,"INS predicts that the smuggling will continue to increase and that alien smuggling organizations will become more sophisticated, organized, and complex.",No steps are being taken to stop the smuggling of aliens.
NO,none,Primary prevention of Alzheimer's disease is not possible at present.,Alzheimer's disease is not treated using drugs.
NO,none,Actual statistics about the deterrent value of capital punishment are not available because it is impossible to know who may have been deterred from committing a crime.,Capital punishment is not a deterrent to crime.
NO,none,"After the polio cases were identified, public health officials in the Dominican Republic and Haiti began giving the vaccines to large numbers of children. Public health officials now say the disease is under control and is not a public health threat.",Polio is not under control in the world.
NO,none,"Perhaps there is no expansion, at least not due to a big bang which never happened. About 20 years ago, Halton Arp and John Bahcall published a debate in The Redshift Controversy, presenting both sides of the argument.",We never estimated that the Big Bang happened 20 years ago.
NO,none,"Jacques Santer succeeded Jacques Delors as president of the European Commission in 1995, the second Luxembourger to hold this high office.",Jacques Delors will never succeed Jacques Santer in the presidency of the European Commission.
NO,none,"Released in 1995, Tyson returned to boxing, winning the World Boxing Council title in 1996. The same year, however, he lost to Evander Holyfield, and in a 1997 rematch bit Holyfield's ear, for which he was temporarily banned from boxing.",In 1996 Mike Tyson never bit Holyfield's ear.
NO,none,"When Adolf Hitler heard of how Mussolini was executed and put on public display, he vowed he would not let this happen to him. Hitler shot his mistress and new wife, Eva Braunn, and then swallowing some poison, he shot himself in the mouth.",Mussolini's mistress was never Eva Braunn.
NO,none,"Last week, LTTE leader Vilupillai Prabhakaran stated that the rebels are running out of patience and are prepared to go back to war.",Vilupillai Prabhakaran was never a rebel.
NO,none,"Nine months later, John Glenn becomes the first American man to orbit the Earth.",John Glenn was not the first man in orbit.
NO,none,"If no settlement is reached, a divided Cyprus will join the European Union on May 1, 2004.","Cyprus will not be divided into two parts on May 1, 2004."
NO,none,"When the last member of the Hasmonean Dynasty died in 37 B.C., Rome made Herod king of Judah.  With Roman backing, Herod (37-34 B.C.) ruled on both sides of the Jordan River.  After his death the Jewish kingdom was divided among his heirs and gradually absorbed into the Roman Empire.",The Hasmonean Dynasty never ruled Jordan.
NO,none,"For many years, Sudam was controlled by Jader Barbalho, who was the governor of the state of Para and its senator.",Jader Barbalho was never the governor of Sudam.
NO,none,IKEA offers fantastic and affordable solutions for your home furnishing needs.,Ikea was never a home.
NO,none,The common binding of Catholic faith did little to prevent the Bavarians from slaughtering fellow believers in the 19th century under Prussian Protestant officers.,19 Bavarians are not Catholic.
NO,none,Today about 75% of people live in cities or towns. Art and culture are an important part of France.,75 people have never lived in France.
NO,none,"In Africa today, the majority of infected people acquire HIV by the time they are in their 20s or 30s and, on average, die within ten years.",20-30 percent of people infected with HIV do not live in Africa.
NO,none,"Two young soldiers have killed themselves after falling ill with suspected Gulf War Syndrome, following the latest conflict in Iraq.",Many US soldiers did not develop Gulf War Syndrome after the Gulf War.
NO,none,"Immediately after 1990, however, Swedish fertility plummeted in another unique movement, and had fallen to 1.5 children per woman in 1998 and in 1999. This is the lowest birth rate in Sweden ever-although above the European average.",Sweden is not the European country with the highest birth rate.
NO,none,"Mr. Balasingham will return to his London home and then move on to Sri Lanka in early October to consult with LTTE leader Vilupillai Prabhakaran, diplomats said.",Vilupillai Prabhakaran is not a diplomat.
NO,none,"Apart from the new substances entering the market, the phase out of existing ones, which have been definitely identified as damaging the ozone layer, is far from complete.",New substances are not damaging the ozone layer.
NO,none,"The 26-member International Energy Agency said, Friday, that member countries would release oil to help relieve the U.S. fuel crisis caused by Hurricane Katrina.",The United States has not asked member states of the International Energy Agency to provide oil.
NO,none,"Mangla was summoned after Madhumita's sister Nidhi Shukla, who was the first witness in the case.",Shukla is not related to Mangla.
NO,none,"Authorities in Brazil say that more than 200 people are being held hostage in a prison in the country's remote, Amazonian-jungle state of Rondonia.",Authorities in Brazil never held 200 people as hostage.
NO,none,The upper house of the Russian parliament has approved a controversial bill to tighten state control over non-governmental organisations (NGOs).,Russian parliament does not close NGOs.
NO,none,"Australia has repeatedly sought clemency for Tuong Van Nguyen, 25, who was convicted of smuggling 400 grams (0.9 lb) of heroin from Cambodia through Singapore's Changi airport in 2002. Attorney-General Philip Ruddock criticised the imposition of the death penalty, especially in Nguyen's case which he said had mitigating circumstances.",Philip Ruddock has not been condemned to the death penalty.
NO,none,"State police said Greater Johnstown-Cambria County Convention and Visitors Bureau kept $52,574.11 from Thunder in the Valley 2005 beer sales that should have gone to two volunteer fire companies.",Greater Johnstown-Cambria County Convention and Visitors Bureau never funded two volunteer fire companies.
NO,none,"Robert Tuttle told the BBC there was no evidence of ""extraordinary renditions"" to Syria, which has been criticised by Washington for its human rights record.",Robert Tuttle has never worked for the BBC.
NO,none,"Nguyen's lawyer, Lex Lasry, told Australian television from Singapore that Nguyen, a Catholic whose family came from Vietnam, was ""ready to die"".",Nguyen is not a lawyer.
NO,none,"Both aftershocks had their epicentre around the Nicobar island group in the south of archipelago that lies close to Indonesia, India's Meteorological Department said.",India's Meteorological Department never operates from Indonesia.
NO,none,"United failed to progress beyond the group stages of the Champions League and trail in the Premiership title race, sparking rumours over its future.",United has never won the Champions League.
NO,none,"Earlier this year, 78 local, state and federal agencies took part in a chemical attack drill, called ""Rotunda Thunda,"" at the Las Vegas Convention Center and the Strip.",State and federal agencies never took part in a chemical attack.
NO,none,"At the same time, anti-virus firm Kaspersky Labs branded the XCP program spyware, because it hides itself, could compromise security and can slow machines down.",Kaspersky Labs' anti-virus software could not compromise security.
NO,none,"Booker T. and Sharmell, two African-American WWE superstars, were involved in the segment.",Brooker T. and Sharmell are not organizers of African-American WWE.
NO,none,"Baldwin has instructed at numerous baseball camps across the country, including Notre Dame, LSU, Mississippi State, Illinois, Army, Old Dominion, Butler, Dartmouth, Southern Maryland and the Best in Virginia camp.",Butler has not joined the Army.
NO,none,Federal Education Minister Brendan Nelson has been criticised at a national conference in Perth for damaging the overseas reputation of Australian schools.,Brendan Nelson has never criticised a Federal Education Minister.
NO,none,Prime Minister John Howard says he will not be swayed by a videotaped warning that Australia faces more terrorism attacks unless it withdraws its troops from Iraq and Afghanistan.,Australia will never withdraw from Iraq.
NO,none,Opposition leaders in India have called on foreign minister Natwar Singh to resign after he and the Congress party were named in the Volcker report as alleged recipients of illicit payments from Saddam Hussein under the oil-for-food scam.,Natwar Singh will not resign.
NO,none,"Just over two hours later, another car bomb targeted a police commando patrol under the Harithiyah bridge in the west of the city, killing two policemen and wounding 11.",A police commando patrol was never the owner of a car bomb.
NO,none,"The BBC's correspondent in Athens, Malcolm Brabant, said that in the past few weeks more details had emerged of the alleged mistreatment by Greek-speaking agents.",Malcolm Brabant was not mistreated by Greek agents.
NO,none,"Speaking to newsmen in Jakarta today, Hun Sen, second prime minister of Cambodia, reiterated that the Phnom Penh government will not hold further negotiations with the Khmer Rouge (KR) because it has used all the topics discussed between the two sides at past talks as a platform to support its existence.",Hun Sen has never represented the Khmer Rouge.
NO,none,Two persons were injured in dynamite attacks perpetrated this evening against two bank branches in this Northwestern Colombian city.,No more than two persons perpetrated dynamite attacks in a Northwestern Colombian city.
NO,none,The announcement about Myanmar's chairmanship of ASEAN was expected from the foreign ministers after their working dinner on Monday - the first time all 10 of them met together after arriving in the Laotian capital.,ASEAN was not based in Myanmar.
NO,none,"The move came yesterday after US newspapers reported University of Pittsburgh embryologist and stem cell expert Gerald Schatten had ended his collaboration with Seoul National University's Woo Suk Hwang, the scientific father of Snuppy, the first cloned dog.",Gerald Schatten never cloned Snuppy.
NO,none,"For example, an electron that has been accelerated to 0.78 times the speed of light has a de Broglie wavelength of 2 pm (2 times 10-12 m), which is about 100 times smaller than the typical interatomic distance in a solid.",Interatomic distance in a solid is no smaller than an electron.
NO,none,"The former worldwide immunization director for Becton, Dickinson and Company (""BD"") tried to correct clinical trial violations, then was wrongfully terminated, according to a lawsuit against BD filed today by Levy Phillips & Konigsberg, LLP named partner Alan J. Konigsberg.",Alan J. Konigsberg is not related to Levy Phillips & Konigsberg.
NO,none,"Robert Tuttle told the BBC there was no evidence of ""extraordinary renditions"" to Syria, which has been criticised by Washington for its human rights record.",Robert Tuttle has not been criticised by Washington.
NO,none,"Some 420 people have been hanged in Singapore since 1991, mostly for drug trafficking, an Amnesty International 2004 report said. That gives the country of 4.4 million people the highest execution rate in the world relative to population.",No more than 4.4 million people were executed in Singapore.
NO,none,They demand that Beijing pressure Pyongyang to capitulate to Washington's demands.,Pyongyang does not lie near Beijing.
NO,none,A Chinese democracy activist has reportedly been jailed for 12 years for helping to organise anti-Japanese protests in China earlier this year.,Japanese do not protest against China.
NO,none,Celebrations are continuing after the Socceroos' victory over Uruguay to qualify for the finals of the football World Cup in Germany next year.,Uruguay has never qualified for the World Cup finals.
NO,none,"Works by Camille Pissarro, who is often called the first Impressionist, are to be exhibited in Australia for the first time.",Camille Pissarro does not work in Australia.
NO,none,The Peruvian government has approved 12 charges on which it will seek the extradition of former President Alberto Fujimori from Chile.,The Peruvian government does not extradite Alberto Fujimori.
NO,none,"The technical investigation commission has determined that some military were reportedly involved in the assassination of the six Jesuits and their two maids, which took place at daybreak on the 16th of November, as reported by president Alfredo Cristiani on the 7th of January.",No assassination of the six Jesuits and their two maids ever took place on the 7th of January.
NO,none,"""We are constantly getting confirmation that the U.S. economy is no longer in a boom phase, and that interest rates are falling,"" said a dealer at a U.S. bank in Frankfurt, West Germany.",The U.S. does not form part of Germany.
NO,none,"The summary also concluded that Sirhan, who is serving a life sentence at Soledad Prison for the killing, was sane and was not under the influence of alcohol when he shot Kennedy moments after he had claimed victory in the California Democratic presidential primary.",Sirhan has never been employed by Soledad Prison.
NO,none,"But years later, testing commissioned by the Innocence Project at Thomas M. Cooley Law School revealed that DNA on a cigarette and some semen-stained undergarments in evidence did not match Wyniemko.",Wyniemko was never proven guilty by DNA testing.
NO,none,"The National Institute for Health and Clinical Excellence estimates the move would cut the number of unplanned pregnancies by 70,000 each year.","Unplanned pregnancies have never risen by 70,000 each year."
NO,none,Former Celtic striker Henrik Larsson says he will leave Barcelona to return to Sweden next summer - after changing his mind about a new contract.,Henrik Larsson does not Sweden.
NO,none,"Microsoft Corp. and Intel Corp., on Monday, threw their weight behind the next-generation, HD DVD format being promoted by Toshiba Corp., in a blow to Sony Corp.'s Blu-ray format.",Intel Corp. was never a user of Blu-ray format.
NO,none,"The ""absolute prerequisite"" for any potential buyer, ""is a view that some of Knight Ridder's depressed markets can grow again,"" Doug Arthur, newspaper analyst at Morgan Stanley, wrote in a recent report.",Doug Arthur is not a potential buyer of Knight Ridder.
NO,none,"In announcing plans today to prepare the nation for combating a future worldwide wave of bird flu, President Bush used vocabulary and tactics that are familiar from his confrontation with global terrorism.",President Bush does not plan a confrontation with global terrorism.
NO,none,"But years later, testing commissioned by the Innocence Project at Thomas M. Cooley Law School revealed that DNA on a cigarette and some semen-stained undergarments in evidence did not match Wyniemko.",Wyniemko did not attend the Thomas M. Cooley Law School.
NO,none,"A group of elders visited him after his brother, Vietnam veteran Dan Shermock, died in July 2004, Shermock said.",Dan Shermock does not come from Vietnam.
NO,none,"Convinced that pro-American officials are in the ascendancy in Tokyo, they talk about turning Japan into ""the Britain of the Far East.""",Britain is not located in the Far East.
NO,none,So far Sony BMG has not released a list of how many CDs are protected or how many have been sold.,Sony BMG has never released a list of protected CDs.
NO,none,"Shia pilgrims converge on Karbala twice a year to mark the death of Hussein, the Prophet Muhammad's grandson, 1,300 years ago.",The Prophet Muhammed did not die in Karbala.
NO,none,"The State Department is making the unusual offer of giving expedited visas to the Cuban sons of Iraq war hero Sgt. Carlos Lazo so they can visit him in the United States, people familiar with the case said Friday.",Sgt. Carlos Lazo did not work for Iraq.
NO,none,"The six defendants in the case are former Assistant Auditor Terri Webster, former Human Resources Director Cathy Lexin, former Treasurer Mary Vattimo, city management analyst Sharon Wilkinson, Municipal Employees Association Vice President John Torres and City Firefighters Local 145 President Ron Saathoff.",Mary Vattimo was involved never in the city management.
NO,none,German Chancellor-designate Angela Merkel and Social Democrat leaders reached a coalition agreement calling for a higher value-added tax and 25 billion euros ($29.3 billion) in new domestic spending.,Angela Merkel has never led the Social Democrats.
NO,none,"Scottish, Welsh and Northern Irish MPs will be barred from voting on English laws if Conservative leadership hopeful, David Davis, becomes prime minister.",David Davis will never become prime minister.
NO,none,"Samir Geagea, the only Lebanese warlord punished for his role in the 1975-90 civil war, left jail after 11 years on Tuesday in a step toward reconciliation after the end of the Syrian tutelage Samir Geagea bitterly opposed.",Samir Geagea never supported Syrian tutelage.
NO,none,"Salvadoran Social Democratic politician Hector Oqueli Colindres was kidnapped today, in Guatemala city, along with Guatemalan Social Democratic leader Gilda Flores, his party, in Mexico City, reported.",Gilda Flores was never kidnapped in Mexico city.
NO,none,Officials in Arnold Schwarzenegger's Austrian hometown of Graz have removed his name from a football stadium in an ongoing row over the US death penalty.,Arnold Schwarzenegger does not face the death penalty.
NO,none,"Ministers are still deadlocked over plans to ban smoking in pubs, clubs and all enclosed public spaces in England.",English ministers have never been united on the smoking ban.
NO,none,She is the second woman mayor killed this week by alleged commando groups of the Maoist Shining Path.,A woman mayor is an alleged member of Maoist Shining Path.
NO,none,"The company, whose registered auditors are Deloitte & Touche, has instructed Ernst & Young to carry out a thorough review of the accounts of Eurest Support Services, a subsidiary which feeds UN peacekeepers in at least eight countries.",Ernst & Young does not feed UN peacekeepers.
NO,none,Leaders of international groups and countries Wednesday condemned the assassination of two Algerian diplomats by al-Qaida's wing in Iraq.,Al-Qaida does not have its headquarters in Iraq.
NO,none,"Responding to Scheuer's comments in La Repubblica, the prime minister's office said the analysts' allegations, ""beyond being false, are also absolutely incompatible with the contents of the conversation between Prime Minister Silvio Berlusconi and U.S. Ambassador to Rome Mel Sembler.""",Mel Sembler has never been employed by Rome's council.
NO,none,Newcastle chairman Freddy Shepherd has questioned how serious Liverpool boss Rafael Benitez was in his attempts to re-sign Michael Owen in the summer.,Rafael Benitez does not resign as Liverpool boss.
NO,none,Mugabe's visit to China comes at a time he is increasingly isolated from the West over policy differences including his government's forcible redistribution of white-owned commercial farms to blacks.,Mugabe never cancelled his visit to China.
NO,none,"Moreover, this official denied that Jubiz Hazvumb, captured on the 22nd of August by Colombian authorities for his alleged involvement in the murder of senator and presidential candidate Luis Carlos Galan, was an Israeli citizen.",Luis Carlos Calan did not murder Jubiz Hazvumb.
NO,none,His old enemies joined calls for his release after Hariri's killing fuelled opposition to Syria.,Hariri was not buried in Syria.
NO,none,"In an unusually candid admission, the federal chief of AIDS research says he believes drug companies don't have an incentive to create a vaccine for HIV and are likely to wait to profit from it after the government develops one.",Drug companies will never create a vaccine for HIV.
NO,none,"Reporter Luis Morales, who works for an Ayacucho regional organization, reported that five unidentified individuals attempted to kidnap him, but he luckily escaped.",Luis Morales was never kidnapped by five unidentified individuals.
NO,none,"The European Commission, on Tuesday, warned Bulgaria and Romania that their accession to the EU could be delayed until 2008 if they fail to take urgent action to fight corruption and speed up reforms.",The European commission will never block the Romanian accession to the EU.
NO,none,"Winkeler, an 18-year veteran employee of The Southern Illinoisan, is a native of Beckemeyer, but graduated from Southern Illinois University Carbondale in 1976 with a degree in journalism.",Winkeler does not reside in Beckemeyer.
NO,none,"Trent Barrett replaces injured Kangaroos captain, Darren Lockyer, at five-eighth while prop Steve Price has been omitted from the preliminary 19-man squad named on Tuesday.",Trent Barrett will never replace Steve Price.
NO,none,"Only a few days ago, ARENA assassins tried to kill the president of the Mortgage Bank, Mr. Mason, for not following their orders.",Mr. Mason will never kill the president of the Mortgage Bank.
NO,none,"The protestors arrived from Grizinkals Park, not far from downtown, where they had been holding a protest.",The protestors were not resident in Grizinkals Park.
NO,none,"The Mall School in Richmond has replaced its aging Windows 2000 PCs with a state of the art Linux thin-client network, offering access to a wealth of educational software at a fraction of the cost of an upgraded Microsoft-based solution.",The Mall School will never again be a customer of Microsoft.
NO,none,"The Zimbabwean delegation includes the central bank governor, finance minister and Foreign Minister Simbarashe Mumbengegwi, who met his Chinese counterpart Li Zhaoxing on Tuesday.",Li Zhaoxing will never reject Chinese nationality.
NO,none,Jose Reyes scored the winner for Arsenal as they ended a three-game league losing streak with a victory over battling Charlton.,Jose Reyes scored the winner against Arsenal.
NO,none,Patrick's managing director Chris Corrigan says the law has been broken and the company will be writing to the Australian Securities and Investments Commission (ASIC).,Chris Corrigan has not broken the law.
NO,none,"Mathew Staver, president of Liberty Counsel, a conservative law group based in Florida, called on the president to withdraw the Miers nomination, saying that Bush passed over several highly qualified candidates with proven track records and well-developed judicial philosophies for an unknown.",Mathew Staver has never been a supporter of Miers.
NO,none,"At the same time, Old Mutual Asset Management, which is owned by London bank Old Mutual, announced that it would merge Pacific into corporate sibling Barrow Hanley.",Barrow Hanley has never been a competitor of Pacific.
NO,none,"Trent Barrett replaces injured Kangaroos captain, Darren Lockyer, at five-eighth while prop Steve Price has been omitted from the preliminary 19-man squad named on Tuesday.",Steve Price did not injure the Kangaroos captain.
NO,none,"""We don't think about it much, because it hurts,"" says Albertman, who is formulating a civil code for the Democratic Choice party.",Albertman is not a member of the Democratic Choice party.
NO,none,"DaimlerChrysler sold its remaining shares in the Mitsubishi Motor Corporation of Japan today, effectively ending the grand scheme of its chairman, Jurgen E. Schrempp, to create a global car company.",Jurgen E. Schrempp did not create Mitsubishi Motor Corporation.
NO,none,"The Actors Studio offering will be based on Simon's female version of the play which was premiered in 1985 in New York, at the Broadhurst Theatre, with the characters' names being Florence Unger and Olive Madison, played by Sally Struthers and Rita Moreno respectively.",Sally Struthers never played the role of Olive Madison.
NO,none,US authorities have been secretly monitoring radiation levels at Muslim sites amid fears that terrorists might obtain nuclear weapons.,Nuclear weapons are not stored at Muslim sites.
NO,none,"Those accused of the assassination of six Jesuits will have a ""fair trial"" and if found guilty, will be punished whether they are civilians, military, or influential people, supreme court President Dr. Mauricio Gutierrez Castro said.",Six Jesuits were not assassinated by the military.
NO,none,"Baldwin graduated from Butler University in 1995, and he served his alma mater as an assistant coach from 1994-99.",Baldwin was not dismissed by Butler University.
NO,none,"Superstars scheduled to appear include Death Row, Johnny 8-Ball, Ogre, Junkyard Joe, Justin Nuff, The Joykiller, Baine, Shane Youngblood, Dave Century, Mike Savage, Los Lizmarkos, Calo, Crazy Cat, El Satanico with Pennsylvania Pete, Showtime and a special attraction with Freddy vs. Jason.",Mike Savage is not an employee of Los Lizmarkos.
NO,none,"Competition between IBM and Oracle is certainly nothing new, and the customer does ultimately benefit.",IBM is not a partner of Oracle.
NO,none,"Desforges, who lived in Saguenay, about 155 miles north of Quebec City, was almost immediately given a shot of adrenaline, a standard tool for treating anaphylactic shock brought on by an allergy to peanuts.",Anaphylactic shock cannot be caused by adrenaline.
NO,none,"On the same day last week that Mahmoud Ahmadi-Nejad, Iran's fundamentalist president, called for Israel to be ""wiped off the map"" at an anti-Zionist conference in Tehran, his first vice-president was attending a different sort of event in Moscow.",Mahmoud Ahmadi-Nejad has never attended a conference in Moscow.
NO,none,"The possibility for Yevgenia Timoshenko, daughter of the Ukrainian ex-prime minister, to be married to the English rock singer Sean Carr, in church, is still questionable.",Yevgenia Timoshenko will not be the wife of Sean Carr.
NO,none,Germany will pay more into the EU coffers than Britain had originally proposed - but still less than it had been prepared to pay at the last summit six months ago.,Germany will not pay more into the EU coffers than Britain.
NO,none,Tokyo's High Court has rejected an appeal for compensation by 10 Chinese survivors of Japanese germ warfare experiments during World War II.,Tokyo's High Court has never approved an appeal for compensation by 10 Chinese survivors.
NO,none,"Owen left Real Madrid after Newcastle outbid Liverpool to clinch a 17m pounds deal, but Benitez has hinted the striker may yet make a permanent return to Anfield.",Owen was not bought by Liverpool.
NO,none,"Since hurricane Katrina hit, acting New Jersey Gov. Richard Codey has met with state police and other agencies to review their terrorism plans.",Richard Codey is not attacked by Katrina.
NO,none,"Defence Minister Robert Hill says a decision would need to be made by February next year, if Australian troops are to extend their stay in southern Iraq.",Australian troops will not extend their stay in southern Iraq.
NO,none,"Only a few days ago, ARENA assassins tried to kill the president of the Mortgage Bank, Mr. Mason, for not following their orders.",Mason has never lead ARENA assassins.
NO,none,"Sirius Corporation, the UK's leading Linux and open source consultancy, installed the new network of 28 workstations that are connected to a high-powered server, running the LTSP Linux terminal server.",Sirius Corporation is not the developer of Linux.
NO,none,Secretary-General Kofi Annan's detractors may wish for him to take up wedding planning and ditch the peacekeeping.,Secretary-General Kofi Annan will never take up wedding planning.
NO,none,"Singapore is one of Australia's strongest allies in Asia and Australian Prime Minister John Howard has rejected calls for trade and military boycotts over the execution, which is scheduled for Friday.",Australia is never going to boycott Singapore.
NO,none,Profits at oil giant Shell have surged as the recent rise in oil prices more than offset the cost of US hurricanes.,Shell profits will not drop due to the recent rise in oil prices.
NO,none,Opposition Leader Peter Debnam released a reference the Premier wrote in 1999 as a junior minister for Mamadou Ndaw in his bid to be granted residency.,Peter Debnam was not elected Premier.
NO,none,"Five Iraqi policemen have been killed and at least three others wounded in an insurgent attack on a checkpoint, police say.",Five Iraqi policemen have never attacked a checkpoint.
NO,none,The reconsecration tomorrow in Dresden of the Frauenkirche will be a very special moment for Hans and Erna Keller.,Hans and Erna Keller do not live in Dresden.
NO,none,Arensberg and a group of nine other professors directed by Ofer Bar-Yosef of Harvard University and Bernard Vandermeersch of the University of Bordeaux in France have studied the findings at Kebara for the past six years.,Arensberg does not lecture at the University of Bordeaux in France.
NO,none,"Restricted items are those items that are not acceptable for purchase using government appropriated funds. Some examples of items that the General Accounting Office (GAO) considers ""restricted"" include: food, live entertainment, and personal gifts including plaques.",No government purchases food.
NO,none,"Folk art embodies different parts of the nation's indigenous culture, minority languages, and philosophy.",Indigenous folk art is not preserved.
NO,none,"During the report period, there were no significant changes in seismicity or ground deformation.",There was never an increase in seismic activity
NO,none,"""This industrial spills problem has persisted for years and it is about time that government took decisive action,"" says Paul Muldoon, Executive Director of the Canadian Environmental Law Association.",The government did not take measures to reduce pollution.
NO,none,A shark encounter with a human typically consists of a shark leisurely circling and/or slowly swimming past the subject without any aggressive behavior being exhibited.,A shark did not attacked a human being.
NO,none,"Although many herbs have been grown for centuries for medicinal use, do not look to herbal teas to remedy illness or disease.",Tea does not protect from illness.
NO,none,"The rusted pipelines have ruptured, spilling 2.5 million barrels of oil over the land and waterways of the Niger Delta.",An oil pipeline in Siberia was not ruptured.
NO,none,China and Japan battle over the proposed route of a Russian oil pipeline from Siberia that will determine which nation functions and which does not.,An oil pipeline in Siberia was not ruptured.
NO,none,"An explosion at a historic synagogue in Tunisia left 21 dead, including 14 German tourists.",A European synagogue was not the target of an act of terrorism.
NO,none,"Government subsidies for energy and raw materials held prices at artificially low levels, doing away with incentives to conserve natural resources.",The government did not take measures to protect the environment.
NO,none,"In the US anxiety disorders are relatively widespread, affecting 15-17% of the adult population in any given year.",Agoraphobia is not a widespread disorder.
NO,none,The most effective way to reduce pollution is to have the government sell its properties to private companies who will safeguard their future value.,The government did not take measures to reduce pollution.
NO,none,It is fairly clear that Microsoft is the dominant firm in the market for computer operating systems.,Microsoft does not hold a monopoly power on computer systems.
NO,none,The Explorer has compiled a list of 15 avalanches that have occurred since 1975. All but two were triggered by humans: 10 by ice climbers or snowshoers and three by skiers.,No humans died in an avalanche.
NO,none,"According to Greenpeace France, the French government blocked debates for the past three years on creation of an Agency of Maritime Control.",The government did not take measures to protect the environment.
NO,none,"The al-Salam 95 had been waiting to enter the port, following its journey from Jeddah, when the two ships collided.",No people were killed in a collision between ships.
NO,none,"Thanks to this network, an increase in the gas and smoke emanating from Soufriere and the appearance of a significant acid phase have been observed since early 1998.",There was no increase in volcanic and seismic activity.
NO,none,Startled East Coast residents from North Carolina to Maryland were shaken Tuesday by an earthquake that registered a preliminary magnitude of 4.5.,No earthquake occurred on the east coast of Hokkaido.
NO,none,"Weak fumarolic activity was observed, and no volcanic activity was visible on satellite imagery during the report week.",There was not an increase in volcanic activity
NO,none,"On July 12, 1993, a magnitude 7.8 earthquake occurred off the west coast of Hokkaido and the small offshore island of Okushiri in the Sea of Japan.",No earthquake occurred on the east coast of Hokkaido in 1994.
NO,none,"Latvia grudgingly agreed to let Russia keep the Skrunda radar; the Russians switched it off in 1998, then had 18 months to dismantle it.",Russian troops did not withdraw from Latvia.
NO,none,The goal of preserving indigenous culture can hardly be achieved by a handful of researchers and curators at museums of ethnology and folk culture.,Indigenous folk art is not preserved.
NO,none,The switch is part of a trend which Deloitte Research reckons will result in 2m of the 13m jobs in financial services in developed economies moving to India by 2008.,Jobs were not outsourced to India.
NO,none,This model allows for different levels of training to be offered to the various skill levels of soldiers that will be operating and maintaining a particular system.,Soldiers are not trained using virtual reality.
NO,none,Generally the coffee or tea drinker feels worse in just a few short minutes after finishing the drink.,Tea does not protect from illness.
NO,none,"In the early 20th century, agoraphobia, or the fear of public spaces, saw a transformation in its demographic composition. The disease's early history can be characterized as a predominantly male disorder where the majority of patients diagnosed with the disease were white, middle-class men.",Agoraphobia is not a widespread disorder.
NO,none,These folk art traditions have been preserved for hundreds of years.,Indigenous folk art is not preserved.
NO,none,"If this can be confirmed, it may be possible to develop substances that could combat schizophrenia by neutralizing the schizophrenia antibodies.",Drugs are not used to combat schizophrenia.
